golf,hockey,spot,BAD,color: black tv show: 24 nhl team growing up: quebec nordiques nhl player growing up: ray bourque food: easy to make steak movie: silence of the lambs car: bmw m5 brand of skates: ccm brand of hockey stick: tps former islander: mike bossy board game: monopoly sport (other than hockey): golf superpower: being unbeatable band: nickelback vacation spot: hawaii comic character: bart simpson non-north american city: stockholm snack food: yogurt stadium food: montreal hot dogs
golf,hockey,spot,BAD,miro's favorite things: color: blue team growing up: czechoslovakian national team player growing up: mario lemieux arena outside long island: bell centre (montreal) food: italian movie: big lebowski car: mercedes benz brand of skates: bauer brand of hockey stick: reebok former islander: mike bossy board game: chess sport (other than hockey): golf band: guns n' roses vacation spot: italy and mexico non-north american city (not in slovakia): rome stadium food: popcorn
golf,hockey,greater,BAD,"in fact, athletes in individual sports (i.e., golf, tennis, and track & field) reported greater reduced sense of accomplishment levels than athletes on team sports (i.e., baseball, basketball, and hockey)."
golf,hockey,greater,BAD,"first, athletes in individual sports (i.e., golf, tennis, and track & field) reported greater reduced sense of accomplishment (ra) levels than athletes in team sports (i.e., baseball, basketball, and hockey)."
golf,hockey,greater,BAD,"football, with its greater numbers and established golf tournament, led the way by raising $42,000, but club sports such as sailing ($17,000) and women's hockey ($6,000) also did remarkably well."
golf,hockey,greater,BAD,"whereas sky has not just 4 dedicated channels, but also the facilities to broadcast just about anything from recorded programmes featuring obscure motorsport events (world motorsport), to stuff that wouldn't get a look-in from anyone else - netball, speedway, triathlon, hockey, and far greater coverage of more mainstream sports than the terrestrial channels ever manage - premiership rugby, us open tennis, wall to wall golf, cricket and nfl coverage."
golf,hockey,prof,BAD,"being in a massive hockey market, i can't think of a better fit for us than the greyhounds,  says ryan bastien, head golf professional."
golf,hockey,prof,BAD,"prof. mcphee got the idea for the puck-smacking robot about five years ago, while researching golf technology, which he said is typically several years ahead of hockey in innovation."
golf,hockey,mcphee,BAD,"prof. mcphee got the idea for the puck-smacking robot about five years ago, while researching golf technology, which he said is typically several years ahead of hockey in innovation."
hockey,golf,faster,PREDICATE-FULL,however hockey is much faster game than golf.
hockey,golf,faster,PREDICATE-FULL,"in some games like cricket, golf and polo you not need to move all the time but in some games like football, hockey and rugby you need a faster movement."
hockey,golf,easier,PREDICATE-FULL,it's easier to play golf than hockey.
hockey,golf,easier,PREDICATE-FULL,it's easier to play hockey well than golf.
hockey,golf,easier,PREDICATE-FULL,"but to just start playing a sport, it's much easier to just start playing golf than to start playing hockey."
hockey,golf,easier,PREDICATE-FULL,"""playing hockey at a high level and then transferring it over to golf, i think that makes it a little bit easier to focus,"" the 23-year-old dupuis said."
hockey,golf,easier,PREDICATE-FULL,"this is not and ethnic thing , its just that we have ice 6 months out of the year and it is easier for children to play hockey than to chase golf balls."
hockey,golf,safer,PREDICATE-FULL,"adult hockey is really very safe, probably safer than golf or tennis and certainly safer than soccer in terms of injury rate."
hockey,golf,tiger,BAD,"anyone that can produce such excellent sports titles as nhl hockey, madden football, fifa soccer and nba live can certainly produce a better golf sim than this tiger woods series has been."
hockey,golf,tiger,BAD,"not much a hockey guy but, will watch golf when tiger wood is playing."
hockey,golf,tiger,BAD,"tiger doesn't like hockey, the same way some hockey fans might not like golf, or some people like classical music and others prefer rock and roll."
